ancestry,case,control,lambda,lambda1000
asian,8390,6831,1.0771588492979167,1.0102459607140797
african,3678,2056,1.0260917653130552,1.0098922781943178
hispanic,1335,1216,1.17431640674351,1.1369631978127752
eur01A,6350,4802,0.9562031643615122,0.9919911599982879
eur01B,5187,4238,1.1705073951609664,1.0365525249803664
eur01C,5982,5422,1.140425955101912,1.0246870204857503
eur01D,5012,4552,1.0875942813248891,1.018359971801228
eur02A,7576,2124,1.0692956113782046,1.0208858902222882
eur02B,7953,2347,2.1618069165672695,1.3205509841731247
eur03A,5049,3472,1.0537455828765274,1.0130622580648267
eur03B,4057,3647,1.034962503377674,1.0091022346837792
eur04,6192,8323,1.1218680124887672,1.0171619222688308
eur05A,5698,3869,1.1557554908375482,1.0337962076186313
eur05B,5298,3532,1.0366140591859592,1.0086386511858152
eur05C,5626,3366,1.1494288368345627,1.0354769992647346
